clusterIndex,clusterCount,clusterNNZ
0,7,352
1,9,104
2,22,608
3,37,1382
4,15,605
5,5,72
6,18,263
7,71,1359
8,25,565
9,40,1316
10,10,99
11,33,1315
12,3,33
13,5,189
14,8,105
15,17,626
16,12,168
17,30,724
18,11,420
19,20,495
20,34,892
21,4,163
22,19,252
23,18,308
24,31,869
25,26,630
26,16,500
27,6,79
28,25,776
29,7,94
30,35,1201
31,58,1177
32,0,0
33,35,1275
34,11,230
35,2,51
36,12,307
37,9,132
38,8,87
39,13,369
40,18,532
41,18,300
42,16,560
43,6,81
44,6,261
45,27,598
46,7,275
47,18,486
48,1,15
49,3,18
50,12,218
51,7,104
52,0,0
53,4,36
54,7,71
55,7,95
56,7,149
57,21,575
58,0,0
59,985,16945
60,14,196
61,3,93
62,17,235
63,32,908
